arm,formulation,precision_at_10,r_precision,ndcg_at_10,mrr,recall_at_50
baseline_minilm,boolean,0.302,0.3391,0.4465,0.6528,0.6834
baseline_minilm,topic,0.2878,0.2957,0.3666,0.4913,0.5713
baseline_minilm,question,0.1449,0.1446,0.2015,0.3807,0.3253
baseline_minilm,production_template,0.0673,0.0574,0.0856,0.2003,0.1867
baseline_minilm,production_template_fixed,0.1388,0.1422,0.1882,0.3434,0.3054
general_small,boolean,0.2673,0.2987,0.4103,0.6643,0.5931
general_small,topic,0.2653,0.2627,0.3728,0.5327,0.5158
general_small,question,0.1796,0.1636,0.2428,0.4158,0.3561
general_small,production_template,0.0857,0.0834,0.1103,0.2106,0.1947
general_small,production_template_fixed,0.1571,0.1745,0.2179,0.3732,0.369
general_base,boolean,0.2898,0.3395,0.458,0.7152,0.6466
general_base,topic,0.3,0.3438,0.4442,0.6129,0.5815
general_base,question,0.2449,0.2601,0.3598,0.5621,0.4447
general_base,production_template,0.0878,0.1008,0.1258,0.2324,0.2543
general_base,production_template_fixed,0.2041,0.2403,0.3261,0.5585,0.4659
biomed_base,boolean,0.2388,0.2271,0.3466,0.5454,0.5014
biomed_base,topic,0.198,0.1983,0.2674,0.4196,0.3781
biomed_base,question,0.0857,0.1029,0.1214,0.2419,0.2301
biomed_base,production_template,0.0571,0.052,0.0622,0.1301,0.2304
biomed_base,production_template_fixed,0.1551,0.1651,0.2253,0.425,0.3324
biomed_retrieval,boolean,0.3102,0.3104,0.4617,0.7108,0.6744
biomed_retrieval,topic,0.3,0.3338,0.4176,0.5524,0.6266
biomed_retrieval,question,0.1878,0.2157,0.2855,0.4812,0.403
biomed_retrieval,production_template,0.0796,0.0766,0.1042,0.2155,0.1829
biomed_retrieval,production_template_fixed,0.1224,0.1608,0.2018,0.4261,0.3385
