arm,threshold,corpus_fraction_admitted,precision_of_admitted,recall_of_admitted,far_probes_rejected,adjacent_probes_rejected,in_domain_queries_silenced
baseline_minilm,0.2,0.0,nan,0.0,1.0,1.0,1.0
baseline_minilm,0.225,0.0,1.0,0.0008,1.0,1.0,0.9796
baseline_minilm,0.25,0.0,1.0,0.0025,1.0,1.0,0.9592
baseline_minilm,0.275,0.0,0.6667,0.0025,1.0,1.0,0.9388
baseline_minilm,0.3,0.0002,0.5667,0.008,1.0,1.0,0.898
baseline_minilm,0.325,0.0004,0.5185,0.0152,1.0,1.0,0.8163
baseline_minilm,0.35,0.0012,0.465,0.0734,1.0,0.8,0.5918
baseline_minilm,0.375,0.0024,0.4597,0.1306,1.0,0.8,0.4898
baseline_minilm,0.4,0.0043,0.4724,0.206,1.0,0.8,0.4286
baseline_minilm,0.425,0.0077,0.3956,0.2721,1.0,0.8,0.3469
baseline_minilm,0.45,0.0134,0.3067,0.3576,1.0,0.4,0.2245
baseline_minilm,0.475,0.0234,0.2312,0.4161,1.0,0.2,0.1837
baseline_minilm,0.5,0.0429,0.1689,0.4814,1.0,0.2,0.1429
baseline_minilm,0.525,0.0746,0.1214,0.541,1.0,0.2,0.1429
baseline_minilm,0.55,0.1226,0.0904,0.5836,1.0,0.2,0.102
baseline_minilm,0.575,0.1894,0.0752,0.6406,1.0,0.0,0.102
baseline_minilm,0.6,0.272,0.0555,0.7088,1.0,0.0,0.102
baseline_minilm,0.625,0.3674,0.0477,0.7968,1.0,0.0,0.102
baseline_minilm,0.65,0.4677,0.0629,0.8264,1.0,0.0,0.0816
baseline_minilm,0.675,0.5623,0.0568,0.8471,1.0,0.0,0.0816
baseline_minilm,0.7,0.6477,0.0458,0.866,1.0,0.0,0.0816
baseline_minilm,0.725,0.7171,0.0406,0.8816,1.0,0.0,0.0816
baseline_minilm,0.75,0.7707,0.0545,0.891,0.75,0.0,0.0408
baseline_minilm,0.775,0.8096,0.0406,0.9008,0.5,0.0,0.0204
baseline_minilm,0.8,0.8367,0.031,0.9041,0.25,0.0,0.0204
general_small,0.2,0.0034,0.388,0.2124,1.0,1.0,0.3469
general_small,0.225,0.018,0.2307,0.3454,1.0,0.6,0.1429
general_small,0.25,0.0764,0.1487,0.4636,1.0,0.6,0.102
general_small,0.275,0.223,0.115,0.6345,1.0,0.6,0.0816
general_small,0.3,0.4224,0.071,0.7263,1.0,0.0,0.0816
general_small,0.325,0.6062,0.0412,0.8117,1.0,0.0,0.0816
general_small,0.35,0.7366,0.0504,0.8798,1.0,0.0,0.0408
general_small,0.375,0.8184,0.0337,0.9024,1.0,0.0,0.0204
general_small,0.4,0.8707,0.0275,0.9169,0.0,0.0,0.0
general_small,0.425,0.9044,0.0249,0.9504,0.0,0.0,0.0
general_small,0.45,0.9325,0.0241,0.9736,0.0,0.0,0.0
general_small,0.475,0.9597,0.0237,0.9891,0.0,0.0,0.0
general_small,0.5,0.982,0.0237,1.0,0.0,0.0,0.0
general_small,0.525,0.9941,0.0236,1.0,0.0,0.0,0.0
general_small,0.55,0.9984,0.0236,1.0,0.0,0.0,0.0
general_small,0.575,0.9996,0.0236,1.0,0.0,0.0,0.0
general_small,0.6,0.9999,0.0236,1.0,0.0,0.0,0.0
general_small,0.625,1.0,0.0236,1.0,0.0,0.0,0.0
general_small,0.65,1.0,0.0236,1.0,0.0,0.0,0.0
general_small,0.675,1.0,0.0236,1.0,0.0,0.0,0.0
general_small,0.7,1.0,0.0236,1.0,0.0,0.0,0.0
general_small,0.725,1.0,0.0236,1.0,0.0,0.0,0.0
general_small,0.75,1.0,0.0236,1.0,0.0,0.0,0.0
general_small,0.775,1.0,0.0236,1.0,0.0,0.0,0.0
general_small,0.8,1.0,0.0236,1.0,0.0,0.0,0.0
general_base,0.2,0.0001,0.8333,0.028,1.0,1.0,0.8776
general_base,0.225,0.001,0.6603,0.1219,1.0,1.0,0.4694
general_base,0.25,0.0044,0.4393,0.252,1.0,0.8,0.3265
general_base,0.275,0.0169,0.2293,0.3693,1.0,0.8,0.1837
general_base,0.3,0.0626,0.1836,0.5019,1.0,0.4,0.102
general_base,0.325,0.1806,0.1415,0.6367,1.0,0.0,0.0612
general_base,0.35,0.3596,0.1031,0.73,1.0,0.0,0.0612
general_base,0.375,0.5425,0.0838,0.8349,1.0,0.0,0.0408
general_base,0.4,0.6899,0.0411,0.8762,1.0,0.0,0.0204
general_base,0.425,0.7939,0.0317,0.9153,1.0,0.0,0.0204
general_base,0.45,0.8617,0.0255,0.9327,0.75,0.0,0.0
general_base,0.475,0.9113,0.0248,0.9752,0.5,0.0,0.0
general_base,0.5,0.9456,0.0235,0.9839,0.0,0.0,0.0
general_base,0.525,0.9717,0.0238,0.9968,0.0,0.0,0.0
general_base,0.55,0.9884,0.0236,0.9991,0.0,0.0,0.0
general_base,0.575,0.9965,0.0236,1.0,0.0,0.0,0.0
general_base,0.6,0.999,0.0236,1.0,0.0,0.0,0.0
general_base,0.625,0.9998,0.0236,1.0,0.0,0.0,0.0
general_base,0.65,1.0,0.0236,1.0,0.0,0.0,0.0
general_base,0.675,1.0,0.0236,1.0,0.0,0.0,0.0
general_base,0.7,1.0,0.0236,1.0,0.0,0.0,0.0
general_base,0.725,1.0,0.0236,1.0,0.0,0.0,0.0
general_base,0.75,1.0,0.0236,1.0,0.0,0.0,0.0
general_base,0.775,1.0,0.0236,1.0,0.0,0.0,0.0
general_base,0.8,1.0,0.0236,1.0,0.0,0.0,0.0
biomed_base,0.2,0.0,nan,0.0,1.0,1.0,1.0
biomed_base,0.225,0.0,nan,0.0,1.0,1.0,1.0
biomed_base,0.25,0.0,0.5,0.0017,1.0,1.0,0.9592
biomed_base,0.275,0.0,0.5,0.0017,1.0,1.0,0.9592
biomed_base,0.3,0.0001,0.7222,0.0038,1.0,1.0,0.9388
biomed_base,0.325,0.0003,0.6429,0.0153,1.0,1.0,0.8571
biomed_base,0.35,0.0006,0.5368,0.0367,1.0,0.8,0.7755
biomed_base,0.375,0.001,0.5122,0.0576,1.0,0.8,0.7347
biomed_base,0.4,0.0017,0.6038,0.09,1.0,0.8,0.6735
biomed_base,0.425,0.0027,0.4335,0.0984,1.0,0.8,0.6327
biomed_base,0.45,0.0046,0.3526,0.1329,1.0,0.6,0.4898
biomed_base,0.475,0.0086,0.2168,0.1674,1.0,0.4,0.3673
biomed_base,0.5,0.0151,0.1933,0.2055,1.0,0.4,0.2653
